SampleID,Group
Krim-P20-5,Pshenitsa
Krim-P20-6,Pshenitsa
Krim-P20-7,Pshenitsa
Krim-P20-8,Pshenitsa
Krim-K20-2,Tselina
Krim-K20-3,Tselina
Krim-K20-4,Tselina
Krim-K20-9,Lesopolosa_sosny
Krim-K20-10,Lesopolosa_sosny
Krim-K20-11,Lesopolosa_sosny
Krim-K20-12,Lesopolosa_sosny
Krim-K20-13,Lesopolosa_gleditsia
Krim-K20-14,Lesopolosa_gleditsia
Krim-K20-15,Lesopolosa_gleditsia
Krim-K20-16,Lesopolosa_gleditsia
