SampleID,SampleType
Krim-K20-9,Forest_Belt
Krim-K20-10,Forest_Belt
Krim-K20-11,Forest_Belt
Krim-K20-12,Forest_Belt
Krim-K20-13,Forest_Belt
Krim-K20-14,Forest_Belt
Krim-K20-15,Forest_Belt
Krim-K20-16,Forest_Belt
